,text
0,Agora e assim A pessoa assiste o programa que o colega deu a nota em 1o mao e faz a nota como se o furo da noticia fosse dela O credito depende se o profissional e amigo pessoal se nao for nem pensar Honestamente acho que devemos ser eticos
1,Na realidade para mim foram tres Deu FURO a maracutaia que tentou aprontar
2,O segundo furo da minha orelha esquerda deu merda Tive que tirar o brinco e ta uma bola de sangue e pele na orelha
3,E ai Bia ja deu um FURINHO nessa tarde Como que estao os furos ai Aguentam o trampo mesmo Aguenta meia hora de furo sensacional Fala ai pra gente Bia Ce Quica Quica gostoso mesmo Tipo Kicis
4,Plantou fake Deu furo
5,A Globolixo ja deu o furo Ciro baleado e na UTI
6,O CARA QUE ATIROU ERROU COMO A QUADRILHA PETISTA DISSERAM QUANDO HOUVE ATENTADO A VIDA DO NOSSO PRESIDENTE O CID DEU SORTE E O CARA ERA RUIM DE TIRO ATIRAR NA CLAVICULA PULMAO ERA PRA ATIRAR NO FURO COMO A REPORTER NAO E CRIME ATIRAR NO LOCAL QUE JA E FURADO
7,Pois e Sua amiga foi ansiosamente atras do Furo para sacanear o Presidente e se deu mal Desmentiram a moca na CPMI da fake news Por estas e por outras voces nao representam a mulher brasileira Nao sao exemplos a serem seguidos
8,Essa jornaleca tambem deu o seu furo k
9,E ai Verinha ja deu seu furo hoje
10,Aquela que ja deu o furo varias vezes em muitas ocasioes
11,Ela deu um furo Bene mais respeito
12,As artistas hipocritas querendo falar em respeito por que o presidente se referiu a uma jornalista militante no caso ela quis fazer um furo ela quis da um furo de reportagem quem nao se deu o respeito foi a tal reporter presidente nao falou nada demais comparado ao ex presidente
13,Ela deu o furo Foi isso que voce falou IDIOTA
14,acho que foi para saber quem deu o furo para a jornalista ou hehe
15,mas afinal quem deu o furo para Jornalista Bolsonaro General Holeno Eduardo Carlos ou Paulo Guedes
16,voce deu o furo agora lute Ngm escapa da vd
17,Democracia e bolsonaro nao combinam ja deu seu furo
18,Uai augusto nunes te admiro muito mas esse comentario seu deu furo agora n entendi esse furo seu
19,Adriano nao policial OUtro jornaleco burro que ja deu o furo bem antes para conhece lo
20,Baixa voce e Nojenta acho que sim So nao sei quantas vezes voce ja deu o furo
21,Ue Glen nao da furo de reportagem Nao deu o furo sobre a vaza jato k Patricia Campos Melo nao deu o furo de reportagem sobre os disparos em massa no whatsap Quem interpretou com outro sentido foi voce Acho que nao sou eu quem precisa de psicologo k
22,Alguem sabe informar se foi a jornalista do Rolha de SP quem deu o furo sobre a confusao do Cid Gomes
23,Deu foi um martelo uma foice e o caminho para o furo
24,Acho que esse jornalista nao deu o furo direito
25,Inclusive o porteiro confirmou tudo e a jornalista da folha deu o furo
26,k ja deu o furo hoje
27,Ja Adivinha quem deu o Furo
28,Essa imagem dele mostra o tamanho da rola que entro na prostituta que trabalha com jornalismo que deu o furo
29,Logo o carluxo dando o furo K Deu certinho o Marketing K
30,Josias e verdade que Vera deu um furo
31,OK AGORA SENTA LA
32,Jayme me deu uma perfuracao no nariz de presente Eu furo hoje ou so depois do carnaval
33,mano o maior furo que deu que o dan era a g foi quando a serena mandou msg para gossip falando para se encontrarem no bar e o dan apareceu ali
34,TEU CU
35,NA CARA NAUM
37,Deu o furo sem duplo sentido Pode isso Arnaldo
38,Como e que uma poha dessa tem a conta verificada Deu o Furo alguem que trabalha no twiter
39,Esta mulher vaga da e pior que que deu o furo
